formula,mu_b,samples,sources,dxmag_type,n_elements
AlIr2W,0.0,8,dxmag,full,3.0
AlIr3,3.75e-07,4,dxmag,full,2.0
AlIrAu,0.0,3,dxmag,half,3.0
AlIrAu2,0.0,5,dxmag,full,3.0
AlIrOs,0.0,3,dxmag,half,3.0
AlIrOs2,0.0,6,dxmag,inverse,3.0
AlIrPd,0.0,4,dxmag,half,3.0
AlIrPd2,0.0,5,dxmag,full,3.0
AlIrPt,0.0,3,dxmag,half,3.0
AlIrPt2,0.0,7,dxmag,inverse,3.0
AlIrRh,0.0,2,dxmag,half,3.0
AlIrRh2,5e-08,9,dxmag,inverse,3.0
AlIrRu,0.0,2,dxmag,half,3.0
AlIrRu2,0.107811675,10,dxmag,full,3.0
AlIrW,-0.0,3,dxmag,half,3.0
AlIrW2,0.0,3,dxmag,full,3.0
AlMo2,0.0,2,dxmag,half,2.0
AlMo2Au,0.0,4,dxmag,full,3.0
AlMo2Ir,0.0,4,dxmag,full,3.0
AlMo2Os,0.0,8,dxmag,full,3.0
AlMo2Pd,0.0,7,dxmag,full,3.0
AlMo2Pt,0.0,6,dxmag,full,3.0
AlMo2Rh,0.0,5,dxmag,full,3.0
AlMo2Ru,0.0,6,dxmag,full,3.0
AlMo2W,0.0,5,dxmag,full,3.0
AlMo3,0.0,2,dxmag,full,2.0
AlMoAu,1.6648892750000002,8,dxmag,half,3.0
AlMoAu2,1.34581435,9,dxmag,full,3.0
AlMoIr,0.0,2,dxmag,half,3.0
AlMoIr2,0.0,8,dxmag,full,3.0
AlMoOs,0.0,3,dxmag,half,3.0
AlMoOs2,0.0,3,dxmag,inverse,3.0
AlMoPd,5.51e-05,5,dxmag,half,3.0
AlMoPd2,0.0,5,dxmag,inverse,3.0
AlMoPt,0.6114422749999999,6,dxmag,half,3.0
AlMoPt2,0.0,6,dxmag,full,3.0
AlMoRh,0.0,2,dxmag,half,3.0
AlMoRh2,0.0,8,dxmag,inverse,3.0
AlMoRu,0.0,2,dxmag,half,3.0
AlMoRu2,3.65e-06,6,dxmag,inverse,3.0
AlMoW,1e-06,6,dxmag,half,3.0
AlMoW2,0.0,4,dxmag,full,3.0
AlNi2,0.0,2,dxmag,half,2.0
AlNi2Ag,-0.0,5,dxmag,full,3.0
AlNi2Au,0.0,4,dxmag,full,3.0
AlNi2Ir,4.15e-06,9,dxmag,inverse,3.0
AlNi2Mo,0.0,4,dxmag,full,3.0
AlNi2Os,1.05643475,11,dxmag,inverse,3.0
AlNi2Pd,0.0,4,dxmag,full,3.0
AlNi2Pt,0.0,4,dxmag,full,3.0
AlNi2Rh,0.0,10,dxmag,inverse,3.0
AlNi2Ru,0.3668627,13,dxmag,inverse,3.0
AlNi2W,0.0,5,dxmag,inverse,3.0
AlNi3,0.0,2,dxmag,full,2.0
AlNiAg,0.0,6,dxmag,half,3.0
AlNiAg2,0.0,4,dxmag,full,3.0
AlNiAu,0.0,5,dxmag,half,3.0
AlNiAu2,0.0,5,dxmag,inverse,3.0
AlNiIr,0.0,2,dxmag,half,3.0
AlNiIr2,0.181321,8,dxmag,full,3.0
AlNiMo,0.0,7,dxmag,half,3.0
AlNiMo2,0.0,8,dxmag,full,3.0
AlNiOs,1.713019075,6,dxmag,half,3.0
AlNiOs2,0.0,5,dxmag,full,3.0
AlNiPd,0.0,5,dxmag,half,3.0
AlNiPd2,0.0,4,dxmag,full,3.0
AlNiPt,0.0,3,dxmag,half,3.0
